TARGET_FID_12_13,Full_sesti,Codice_1
633,CN2971A,CHIO
633,CN2971,CHIO
634,CN2951E,CHIO
635,CN2970C,CHIO
636,CN2954E,CHIO
637,CN2954D,CHIO
638,CN2951A,CHIO
639,CN2952A,CHIO
640,CN2971L,CHIO
641,CN2971M,CHIO
642,CN2971N,CHIO
643,CN2949D,CHIO
645,CN2949A,CHIO
646,CN2949,CHIO
647,CN2950C,CHIO
648,CN2950B,CHIO
648,CN2950A,CHIO
648,CN2950,CHIO
649,CN2950D,CHIO
649,CN2950E,CHIO
650,CN2970A,CHIO
651,CN2970,CHIO
652,CN2970B,CHIO
653,CN2969,CHIO
654,CN2968,CHIO
655,CN2954C,CHIO
656,CN2954B,CHIO
656,CN2954A,CHIO
657,CN2957,CHIO
657,CN2956,CHIO
658,CN2959,CHIO
658,CN2958,CHIO
658,CN2955,CHIO
659,CN2962,CHIO
660,CN2963,CHIO
660,CN2964,CHIO
661,CN2964A,CHIO
662,CN2967,CHIO
663,CN2940,CHIO
664,CN2936,CHIO
664,CN2934A,CHIO
664,CN2934,CHIO
664,CN2937,CHIO
664,CN2935,CHIO
665,CN2939,CHIO
665,CN2938,CHIO
666,CN2933A,CHIO
668,CN3027,GIRO
668,CN3027A,GIRO
668,CN3027B,GIRO
669,CN3067,GIRO
669,CN3068,GIRO
670,CN3066A,GIRO
671,CN3047,GIRO
672,CN3044,GIRO
672,CN3045B,GIRO
672,CN3045,GIRO
672,CN3045A,GIRO
672,CN3043,GIRO
674,CN3065,GIRO
674,CN3066,GIRO
675,CN3050A,GIRO
675,CN3050,GIRO
677,CN3052,GIRO
677,CN3053,GIRO
678,CN3069,GIRO
678,CN3068A,GIRO
678,CN3086A,GIRO
679,CN3086,GIRO
679,CN3070,GIRO
679,CN3071,GIRO
679,CN3086B,GIRO
680,CN3077,GIRO
680,CN3084,GIRO
680,CN3076,GIRO
680,CN3078,GIRO
680,CN3084A,GIRO
680,CN3074,GIRO
680,CN3075,GIRO
680,CN3085,GIRO
680,CN3073,GIRO
680,CN3073A,GIRO
680,CN3072,GIRO
681,CN3079B,GIRO
681,CN3079A,GIRO
681,CN3079,GIRO
682,CN3080,GIRO
682,CN3083A,GIRO
683,CN3082,GIRO
683,CN3083,GIRO
683,CN3081,GIRO
684,CN3087C,GIRO
686,CN3136,GIRO
686,CN3137,GIRO
687,CN3088,GIRO
687,CN3088A,GIRO
687,CN3087A,GIRO
689,CN3097A,GIRO
689,CN3096,GIRO
689,CN3097,GIRO
690,CN3099,GIRO
690,CN3098,GIRO
691,CN3100,GIRO
691,CN3100A,GIRO
691,CN3101A,GIRO
691,CN3101,GIRO
694,CN3102,GIRO
694,CN3102D,GIRO
694,CN3102A,GIRO
694,CN3102C,GIRO
696,CN3136A,GIRO
696,CN3135A,GIRO
697,CN3107A,GIRO
697,CN3106,GIRO
697,CN3107,GIRO
698,CN3105,GIRO
698,CN3105B,GIRO
698,CN3104A,GIRO
699,CN3104,GIRO
699,CN2926,GIRO
699,CN2924,GIRO
699,CN2925,GIRO
699,CN3103,GIRO
700,CN2923,GIRO
700,CN2922,GIRO
700,CN3108,GIRO
700,CN3109,GIRO
701,CN2847A,ORME
703,CN3143O,SENS
703,CN3143S,SENS
705,CN3143M,SENS
705,CN3143N,SENS
706,CN3139,SENS
706,CN3138A,SENS
707,CN3141,SENS
707,CN3139A,SENS
707,CN3140,SENS
708,CN3142,SENS
708,CN3143,SENS
709,CN3210A,SENS
711,CN3212A,SENS
711,CN3211A,SENS
711,CN3212,SENS
712,CN3215,SENS
712,CN3213,SENS
712,CN3212B,SENS
712,CN3214,SENS
712,CN3215A,SENS
714,CN3217A,SENS
714,CN3216,SENS
714,CN3217,SENS
719,CN3218,SENS
728,CN3027P,SENS
728,CN3027O,SENS
728,CN3027N,SENS
729,CN3027I,SENS
729,CN3027F,SENS
729,CN3027G,SENS
734,CN3027C,SENS
734,CN3027D,SENS
737,CN3145,ALVI
740,CN3148,ALVI
740,CN3147,ALVI
741,CN3026,GIRO
741,CN3026B,GIRO
741,CN3026A,GIRO
741,CN3026C,GIRO
743,CN3047A,GIRO
743,CN3028D,GIRO
743,CN3028C,GIRO
743,CN3037A,GIRO
743,CN3037,GIRO
743,CN3038,GIRO
743,CN3047B,GIRO
744,CN3051,GIRO
744,CN3051A,GIRO
746,CN3145A,ALVI
746,CN3146,ALVI
751,CN3054,GIRO
751,CN3055,GIRO
751,CN3053A,GIRO
755,CN3191A,ALVI
755,CN3191,ALVI
757,CN3165,ALVI
757,CN3164,ALVI
758,CN3192A,ALVI
758,CN3192,ALVI
759,CN3168,ALVI
759,CN3167,ALVI
760,CN3190,ALVI
764,CN3169B,ALVI
764,CN3189,ALVI
764,CN3169,ALVI
765,CN3192G,ALVI
765,CN3192B,ALVI
765,CN3192C,ALVI
765,CN3192H,ALVI
765,CN3192E,ALVI
765,CN3192F,ALVI
765,CN3192D,ALVI
766,CN3193,ALVI
766,CN3193A,ALVI
766,CN3193B,ALVI
767,CN3193E,ALVI
767,CN3193D,ALVI
767,CN3193C,ALVI
768,CN3194C,ALVI
769,CN3194D,ALVI
770,CN3194G,ALVI
770,CN3194E,ALVI
770,CN3194F,ALVI
770,CN3194B,ALVI
770,CN3194,ALVI
770,CN3194A,ALVI
770,CN3194H,ALVI
771,CN3174,ALVI
771,CN3175,ALVI
772,CN3184,ALVI
773,CN3182,ALVI
773,CN3183,ALVI
774,CN3203,ALVI
775,CN3181B,ALVI
775,CN3181G,ALVI
775,CN3181A,ALVI
775,CN3181D,ALVI
775,CN3181C,ALVI
775,CN3181E,ALVI
775,CN3181F,ALVI
776,CN3177,ALVI
776,CN3178,ALVI
776,CN3179,ALVI
776,CN3180A,ALVI
776,CN3181,ALVI
776,CN3176,ALVI
776,CN3180,ALVI
777,CN3156,ALVI
777,CN3155,ALVI
777,CN3154,ALVI
778,CN3153,ALVI
778,CN3152,ALVI
779,CN3151,ALVI
779,CN3150A,ALVI
780,CN3150,ALVI
782,CN3194I,ALVI
784,CN3204,ALVI
