TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
14718,1,81301,SP700,SILV
14720,1,40697,DD2499,CERE
14720,1,40693,DD2500,CERE
14721,1,36300,SP699,SILV
14722,2,36341,SP696,SILV
14722,2,84171,SP698,SILV
14722,2,36340,SP697,SILV
14724,1,40689,DD2501,CERE
14725,3,36271,SP1003,SILV
14725,3,36269,SP773A,SILV
14725,3,36270,SP773,SILV
14726,1,48819,CS5118A,SEVE
14726,1,48823,CS5118,SEVE
14727,1,40685,DD2502,CERE
14728,2,72738,SP1021,SILV
14730,1,40681,DD2503,CERE
14730,1,77752,DD2504,CERE
14731,2,36226,SP1019,SILV
14731,2,36225,SP1020,SILV
14731,2,36276,SP1008,SILV
14731,2,36275,SP1009,SILV
14731,2,76731,SP1018,SILV
14732,1,49496,CS5254,FORM
14732,1,49476,CS5257,FORM
14732,1,49500,CS5253,FORM
14732,1,79937,CS5254A,FORM
14732,1,49492,CS5255,FORM
14732,1,79936,CS5256,FORM
14734,2,36268,SP1010,SILV
14734,2,36267,SP1011,SILV
14734,2,36266,SP1012,SILV
14734,2,36228,SP1016,SILV
14734,2,36227,SP1017,SILV
14734,2,73015,SP1017B,SILV
14734,2,75277,SP1017A,SILV
14735,1,49550,CS5850,FORM
14735,1,49534,CS5852,FORM
14735,1,49538,CS5853,FORM
14735,1,49546,CS5855,FORM
14735,1,49542,CS5854,FORM
14736,1,77461,DD2490,CERE
14736,1,40677,DD2492,CERE
14736,1,40669,DD2489,CERE
14736,1,40672,DD2491A,CERE
14736,1,75317,DD2491,CERE
14737,3,36264,SP1014,SILV
14737,3,36263,SP1015,SILV
14737,3,36262,SP1015B,SILV
14737,3,36265,SP1013,SILV
14737,3,76735,SP1015A,SILV
14738,2,49529,CS5851,FORM
14740,2,65711,SP1040,SILV
14740,2,65714,SP1037,SILV
14740,2,65715,SP1036,SILV
14740,2,82237,SP1034,SILV
14740,2,36208,SP1035,SILV
14740,2,36207,SP1034A,SILV
14741,1,79621,CS4424,FILI
14742,1,40654,DD2488B,CERE
14742,1,40651,DD2488A,CERE
14742,1,40647,DD2488,CERE
14743,2,65709,SP1045B,SILV
14743,2,36209,SP1043,SILV
14743,2,65710,SP1042,SILV
14743,2,36214,SP1041B,SILV
14743,2,36210,SP1044,SILV
14743,2,36212,SP1042A,SILV
14743,2,36211,SP1045,SILV
14743,2,36213,SP1041A,SILV
14743,2,73863,SP1041,SILV
14745,1,40644,DD2493A,CERE
14745,1,40657,DD2487,CERE
14746,2,39778,SP1133,SILV
14746,2,76757,SP1138,SILV
14746,2,81479,SP1139,SILV
14746,2,73028,SP1132,SILV
14747,3,81448,SP1137A,SILV
14747,3,39776,SP1136,SILV
14747,3,73024,SP1133A,SILV
14747,3,39777,SP1137,SILV
14748,2,78697,CS5334,FAVA
14749,1,40660,DD2486,CERE
14749,1,40641,DD2493B,CERE
14750,1,83354,SP1077,SILV
14750,1,39805,SP1077A,SILV
14751,2,77195,CS5341,FAVA
14751,2,77202,CS5342,FAVA
14751,2,48134,CS5334A,FAVA
14751,2,77187,CS5339,FAVA
14751,2,77161,CS5338,FAVA
14751,2,77191,CS5340,FAVA
14751,2,77218,CS5346,FAVA
14751,2,48130,CS5335,FAVA
14751,2,48126,CS5336,FAVA
14751,2,78693,CS5337,FAVA
14751,2,77206,CS5343,FAVA
14751,2,77210,CS5344,FAVA
14751,2,77214,CS5345,FAVA
14751,2,77222,CS5347,FAVA
14752,1,40637,DD2493,CERE
14752,1,40663,DD2485C,CERE
14753,1,39804,SP1134,SILV
14753,1,39803,SP1135,SILV
14754,1,48610,CS5525,FAVA
14754,1,78751,CS5524,FAVA
14755,1,40632,DD2493C,CERE
14755,1,40666,DD2484,CERE
14756,1,39761,SP1264,SILV
14756,1,39758,SP1265,SILV
14757,1,48606,CS5526,FAVA
14758,1,41611,DD2493F,CERE
14758,1,40629,DD2493E,CERE
14758,1,41615,DD2483,CERE
14759,2,75672,SP1265B,SILV
14759,2,75668,SP1264A,SILV
14759,2,39756,SP1265A,SILV
14760,1,48021,CS5375,FAVA
14760,1,49987,CS5374,FAVA
14761,1,41619,DD2482,CERE
14762,2,65908,SP1284,SILV
14762,2,39765,SP1289,SILV
14762,2,76491,SP1284A,SILV
14763,2,72812,CS5397,FAVA
14764,1,41607,DD2493G,CERE
14764,1,41567,DD2480,CERE
14764,1,41563,DD2480A,CERE
14764,1,41622,DD2481,CERE
14765,2,39764,SP1290,SILV
14765,2,39763,SP1283,SILV
